blend,lightgbm_weight,catboost_weight,mean_cv_roc_auc,std_cv_roc_auc,mean_cv_average_precision,std_cv_average_precision
lgbm_60_catboost_40,0.6,0.4,0.7935811290217357,0.00029175234834211415,0.2895833800902324,0.003891555310354481
lgbm_50_catboost_50,0.5,0.5,0.793577544950308,0.0002784161509337964,0.2894632000428971,0.0038330025448694983
lgbm_70_catboost_30,0.7,0.3,0.7934782001175223,0.00030419167272332723,0.289511035833881,0.0039248774203666835
lgbm_80_catboost_20,0.8,0.1999999999999999,0.793271746401747,0.0003174885204593075,0.2892606495016216,0.003968259183515613
