feature_set,raw_feature_count,transformed_feature_count,numeric_add_indicator,one_hot_min_frequency,one_hot_max_categories,threshold,validation_roc_auc,validation_average_precision,validation_accuracy,validation_precision_class_1,validation_recall_class_1,validation_f1_class_1
top_200_no_missing_indicators,200,244,False,1000,15,0.6738812496837173,0.7878242713364545,0.2728997756112806,0.8575464412015772,0.26806170765235987,0.4418429003021148,0.3336819089267041
top_150_no_missing_indicators,150,194,False,1000,15,0.6854352252212004,0.787486148340172,0.2717199103691703,0.8633185642860046,0.27430726348581735,0.4211983887210473,0.3322410882732599
top_250_no_missing_indicators,250,294,False,1000,15,0.6917625738362183,0.787465942784546,0.273549133248518,0.8681354416487135,0.28287884017949605,0.412638469284995,0.3356543108744624
domain_250_no_missing_indicators,250,280,False,1000,15,0.6712771439293224,0.786004402027992,0.2715888127910847,0.8575261168245193,0.270057523463518,0.44914400805639476,0.33730383815466064
domain_200_no_missing_indicators,200,200,False,1000,15,0.6560424579197282,0.7805551306637063,0.2650484154777374,0.8468354944920938,0.25379939209726443,0.46248741188318226,0.32774308652988404
domain_150_no_missing_indicators,150,150,False,1000,15,0.6761287028340437,0.780197419967631,0.2655830867350301,0.8576683874639243,0.26353565298798565,0.425226586102719,0.3254021770542337
