feature
EXT_SOURCE_MEAN
EXT_SOURCE_MIN
CREDIT_TERM_APPROX
EXT_SOURCE_MAX
BURO_BURO_DEBT_CREDIT_RATIO_MAX
INST_INST_LATE_PAYMENT_FLAG_MEAN
GOODS_CREDIT_RATIO
AGE_YEARS
PREV_DAYS_LAST_DUE_1ST_VERSION_MAX
PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN
