blend,lightgbm_weight,catboost_weight,mean_cv_roc_auc,std_cv_roc_auc,mean_cv_average_precision,std_cv_average_precision
lgbm_50_catboost_50,0.5,0.5,0.7945306964243702,0.00024759124178957325,0.29086421064864393,0.003698866644481008
lgbm_60_catboost_40,0.6,0.4,0.7944034299604686,0.0002393699249551947,0.2908181709779512,0.0037555207636861764
lgbm_70_catboost_30,0.7,0.30000000000000004,0.794138359829578,0.0002505959793014643,0.2905504489618798,0.003850893624434976
lgbm_80_catboost_20,0.8,0.19999999999999996,0.7937407458910591,0.0002754754336936899,0.29003000073481494,0.003905975364835586
