feature_set,mean_cv_roc_auc,std_cv_roc_auc,mean_cv_average_precision,std_cv_average_precision,mean_transformed_feature_count
advanced_drop_2_weakest_transformed_baseline,0.7925488471724659,,0.2880674450643672,,363.0
advanced_drop_2_plus_second_order,0.7925183972408405,0.00017817783344287034,0.2884623705734451,0.002748094695606434,374.0
