feature_set,transformed_feature,gain_importance
positive_gain_raw_grouped_ohe,numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,19677.17289161682
positive_gain_raw_grouped_ohe,categorical__NAME_EDUCATION_TYPE_Higher education,19041.946781158447
positive_gain_raw_grouped_ohe,numeric__DAYS_EMPLOYED,18165.997774124146
positive_gain_raw_grouped_ohe,numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,17920.906047821045
positive_gain_raw_grouped_ohe,numeric__INST_AMT_PAYMENT_SUM,17511.644302368164
positive_gain_raw_grouped_ohe,numeric__EXT_SOURCE_3,17004.028839111328
positive_gain_raw_grouped_ohe,numeric__EXT_SOURCE_STD,16343.875539779663
positive_gain_raw_grouped_ohe,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,15799.78865814209
positive_gain_raw_grouped_ohe,categorical__CODE_GENDER_F,15649.55265045166
positive_gain_raw_grouped_ohe,numeric__AMT_GOODS_PRICE,14977.559555053711
positive_gain_raw_grouped_ohe,numeric__ANNUITY_INCOME_RATIO,11969.946699142456
positive_gain_raw_grouped_ohe,categorical__CODE_GENDER_M,11379.784740447998
positive_gain_raw_grouped_ohe,numeric__EMPLOYED_YEARS,11139.372104644775
positive_gain_raw_grouped_ohe,numeric__OWN_CAR_AGE,10928.169631958008
positive_gain_raw_grouped_ohe,numeric__ANNUITY_PER_PERSON,10654.825117111206
positive_gain_raw_grouped_ohe,numeric__EXT_SOURCE_2,10379.58320236206
positive_gain_raw_grouped_ohe,numeric__INST_AMT_PAYMENT_MEAN,9844.631225585938
positive_gain_raw_grouped_ohe,numeric__missingindicator_EXT_SOURCE_1,9827.920066833496
positive_gain_raw_grouped_ohe,numeric__EMPLOYMENT_AGE_RATIO,9169.01245689392
positive_gain_raw_grouped_ohe,numeric__INST_INST_PAYMENT_DELAY_MAX,8981.828559875488
positive_gain_raw_grouped_ohe,numeric__CC_CC_UTILIZATION_RATIO_MAX,8944.741487503052
positive_gain_raw_grouped_ohe,numeric__POS_POS_COMPLETION_RATIO_SUM,8772.459218978882
positive_gain_raw_grouped_ohe,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,8617.574798583984
positive_gain_raw_grouped_ohe,numeric__AMT_CREDIT,8526.734872817993
positive_gain_raw_grouped_ohe,numeric__PREV_DAYS_LAST_DUE_MAX,8299.584562301636
positive_gain_raw_grouped_ohe,numeric__POS_POS_COMPLETION_RATIO_MEAN,7200.77409362793
positive_gain_raw_grouped_ohe,numeric__EXT_SOURCE_COUNT,6684.4563064575195
positive_gain_raw_grouped_ohe,numeric__BURO_TYPE_MORTGAGE_RATE,6651.847808837891
positive_gain_raw_grouped_ohe,numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,6542.149997711182
positive_gain_raw_grouped_ohe,numeric__CREDIT_INCOME_RATIO,6479.642017364502
positive_gain_raw_grouped_ohe,numeric__BURO_DAYS_ENDDATE_FACT_MAX,6409.375913619995
positive_gain_raw_grouped_ohe,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,6404.754482269287
positive_gain_raw_grouped_ohe,numeric__BURO_AMT_CREDIT_SUM_SUM,6335.897201538086
positive_gain_raw_grouped_ohe,numeric__PREV_AMT_DOWN_PAYMENT_SUM,6294.554306030273
positive_gain_raw_grouped_ohe,numeric__DAYS_ID_PUBLISH,6217.28088760376
positive_gain_raw_grouped_ohe,numeric__BURO_BURO_DEBT_CREDIT_RATIO_SUM,6168.646402359009
positive_gain_raw_grouped_ohe,numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,6152.668783187866
positive_gain_raw_grouped_ohe,numeric__BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,6148.737993240356
positive_gain_raw_grouped_ohe,numeric__INST_INST_PAYMENT_RATIO_MEAN,6102.285175323486
positive_gain_raw_no_missing_indicators,numeric__EXT_SOURCE_MEAN,601607.5960140228
positive_gain_raw_no_missing_indicators,numeric__EXT_SOURCE_MIN,83013.28085327148
positive_gain_raw_no_missing_indicators,numeric__CREDIT_TERM_APPROX,53440.64260673523
positive_gain_raw_no_missing_indicators,numeric__EXT_SOURCE_MAX,53280.65089035034
positive_gain_raw_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,44059.82141876221
positive_gain_raw_no_missing_indicators,numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,36061.36988258362
positive_gain_raw_no_missing_indicators,numeric__GOODS_CREDIT_RATIO,34714.89464378357
positive_gain_raw_no_missing_indicators,numeric__AGE_YEARS,29838.556421279907
positive_gain_raw_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,24643.034454345703
positive_gain_raw_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,22441.040517807007
positive_gain_raw_no_missing_indicators,numeric__AMT_ANNUITY,22427.29747581482
positive_gain_raw_no_missing_indicators,numeric__EXT_SOURCE_3,20842.033275604248
positive_gain_raw_no_missing_indicators,numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,20538.280073165894
positive_gain_raw_no_missing_indicators,numeric__DAYS_EMPLOYED,19488.872980117798
positive_gain_raw_no_missing_indicators,categorical__NAME_EDUCATION_TYPE_Higher education,19345.497932434082
positive_gain_raw_no_missing_indicators,numeric__PREV_NAME_CONTRACT_STATUS_REFUSED_RATE,18863.23331451416
positive_gain_raw_no_missing_indicators,numeric__INST_AMT_PAYMENT_SUM,17754.63049697876
positive_gain_raw_no_missing_indicators,categorical__CODE_GENDER_F,15648.365657806396
positive_gain_raw_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MEAN,14509.71397781372
positive_gain_raw_no_missing_indicators,numeric__AMT_GOODS_PRICE,14010.066223144531
positive_gain_raw_no_missing_indicators,numeric__ANNUITY_INCOME_RATIO,12160.56393814087
positive_gain_raw_no_missing_indicators,numeric__EXT_SOURCE_2,11474.517974853516
positive_gain_raw_no_missing_indicators,numeric__EXT_SOURCE_COUNT,11403.56895828247
positive_gain_raw_no_missing_indicators,categorical__CODE_GENDER_M,11165.616327285767
positive_gain_raw_no_missing_indicators,numeric__EXT_SOURCE_1,10916.154521942139
positive_gain_raw_no_missing_indicators,numeric__OWN_CAR_AGE,10536.544912338257
positive_gain_raw_no_missing_indicators,numeric__EMPLOYED_YEARS,9991.64451789856
positive_gain_raw_no_missing_indicators,numeric__CC_CC_UTILIZATION_RATIO_MAX,9882.936309814453
positive_gain_raw_no_missing_indicators,numeric__ANNUITY_PER_PERSON,9793.26130104065
positive_gain_raw_no_missing_indicators,numeric__INST_AMT_PAYMENT_MEAN,9578.739971160889
positive_gain_raw_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_SUM,9399.838459014893
positive_gain_raw_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_MAX,9140.135580062866
positive_gain_raw_no_missing_indicators,numeric__EMPLOYMENT_AGE_RATIO,8789.389825820923
positive_gain_raw_no_missing_indicators,numeric__AMT_CREDIT,8521.925622940063
positive_gain_raw_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,8507.693855285645
positive_gain_raw_no_missing_indicators,numeric__INST_INST_PAYMENT_DELAY_MAX,8142.269794464111
positive_gain_raw_no_missing_indicators,numeric__EXT_SOURCE_STD,7541.416326522827
positive_gain_raw_no_missing_indicators,numeric__POS_CNT_INSTALMENT_FUTURE_MEAN,7134.992841720581
positive_gain_raw_no_missing_indicators,numeric__BURO_TYPE_MORTGAGE_RATE,7069.943778991699
positive_gain_raw_no_missing_indicators,numeric__BURO_AMT_CREDIT_SUM_SUM,6910.387126922607
positive_gain_raw_no_missing_indicators,numeric__POS_POS_COMPLETION_RATIO_MEAN,6801.429698944092
positive_gain_raw_no_missing_indicators,numeric__DAYS_ID_PUBLISH,6735.779098510742
positive_gain_raw_no_missing_indicators,numeric__PREV_PRODUCT_COMBINATION_CASH X-SELL: LOW_RATE,6558.319807052612
positive_gain_raw_no_missing_indicators,numeric__CREDIT_PER_PERSON,6449.488136291504
positive_gain_raw_no_missing_indicators,categorical__NAME_FAMILY_STATUS_Married,6364.84871673584
positive_gain_raw_no_missing_indicators,numeric__INST_AMT_PAYMENT_MIN,6307.201303482056
positive_gain_raw_no_missing_indicators,numeric__CREDIT_INCOME_RATIO,6285.542104721069
positive_gain_raw_no_missing_indicators,numeric__BURO_DAYS_CREDIT_ENDDATE_MAX,6282.015575408936
positive_gain_raw_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_SUM,6149.136322021484
positive_gain_raw_no_missing_indicators,numeric__PREV_AMT_DOWN_PAYMENT_SUM,6131.632789611816
top_450_raw_no_missing_indicators,numeric__EXT_SOURCE_MEAN,583815.2185783386
top_450_raw_no_missing_indicators,numeric__EXT_SOURCE_MIN,81531.2607345581
top_450_raw_no_missing_indicators,numeric__EXT_SOURCE_MAX,74746.46851348877
top_450_raw_no_missing_indicators,numeric__CREDIT_TERM_APPROX,53570.281869888306
top_450_raw_no_missing_indicators,numeric__BURO_BURO_DEBT_CREDIT_RATIO_MAX,44670.17659950256
top_450_raw_no_missing_indicators,numeric__INST_INST_LATE_PAYMENT_FLAG_MEAN,36905.238777160645
top_450_raw_no_missing_indicators,numeric__GOODS_CREDIT_RATIO,34757.75233268738
top_450_raw_no_missing_indicators,numeric__AGE_YEARS,29753.71512031555
top_450_raw_no_missing_indicators,numeric__PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,25775.691263198853
top_450_raw_no_missing_indicators,numeric__PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,24164.70614051819
top_450_raw_no_missing_indicators,numeric__AMT_ANNUITY,22217.80583000183
top_450_raw_no_missing_indicators,numeric__CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,19635.44334602356
top_450_raw_no_missing_indicators,categorical__NAME_EDUCATION_TYPE_Higher education,18503.795169830322
top_450_raw_no_missing_indicators,numeric__DAYS_EMPLOYED,18143.89287185669
top_450_raw_no_missing_indicators,numeric__INST_AMT_PAYMENT_SUM,17694.104726791382
top_450_raw_no_missing_indicators,numeric__EXT_SOURCE_3,17510.611282348633
