feature_set,raw_feature_count,transformed_feature_count,numeric_add_indicator,one_hot_min_frequency,one_hot_max_categories,threshold,validation_roc_auc,validation_average_precision,validation_accuracy,validation_precision_class_1,validation_recall_class_1,validation_f1_class_1
positive_gain_raw_grouped_ohe,628,1284,True,1000,20,0.6692768403015732,0.787926774175808,0.2728461701775335,0.856916385512784,0.26764616782793094,0.44486404833836857,0.33421600151314546
domain_compact_350_no_missing_indicators,350,399,False,1000,20,0.6820925900744799,0.7875210154477317,0.27278176413629535,0.8633795374171782,0.27693056456846205,0.4297583081570997,0.3368192580899763
top_450_raw_no_missing_indicators,450,510,False,1000,20,0.6576004665499864,0.7874421859494461,0.2739069409962218,0.8502703142148693,0.2612853325833216,0.46777442094662636,0.33528827934674726
all_features_no_missing_indicators,908,974,False,1000,20,0.6444615098895384,0.7873748006997467,0.27252853575492136,0.8428519165887566,0.25392670157068065,0.48841893252769386,0.3341370995521874
positive_gain_raw_no_missing_indicators,628,694,False,1000,20,0.6860364152316604,0.7873051444123902,0.273518816395681,0.8657371651558879,0.27954469367258117,0.4204431017119839,0.33581339231852003
top_300_raw_no_missing_indicators,300,349,False,1000,20,0.6929807966585182,0.7868281040464771,0.27268184872781215,0.8685012804357547,0.2827826086956522,0.4093655589123867,0.3344990742645546
