feature_set,fold,raw_feature_count,transformed_feature_count,roc_auc,average_precision
reduced_top_200,1,200,244,0.7898064799968734,0.2880490433935484
reduced_top_200_plus_advanced,1,321,365,0.7928187559015688,0.29168345998951445
reduced_top_200,2,200,244,0.7901182729648242,0.2801992119404529
reduced_top_200_plus_advanced,2,321,365,0.7923075554286195,0.28565435726050514
reduced_top_200,3,200,244,0.788940167879747,0.2796062953964865
reduced_top_200_plus_advanced,3,321,365,0.7916969715546286,0.2862580094821622
