model,folds,mean_roc_auc,std_roc_auc,min_roc_auc,max_roc_auc,mean_average_precision,std_average_precision,min_average_precision,max_average_precision
native_50_50_blend,15,0.7952124985015195,0.0035366254223533912,0.7903244176593817,0.8018477503908401,0.29213307314928244,0.006308433709640397,0.28113739549701827,0.30310634897830097
native_catboost_component,15,0.793632738091737,0.003397779570582015,0.7891139421018498,0.8000272455680131,0.2883952436502387,0.006037213588571468,0.27854131262706083,0.2985258340700152
lightgbm_component,15,0.7935595323148347,0.0036401959450884447,0.788318826083663,0.8001979827984208,0.28968383917035806,0.006193880355470834,0.27809847725966097,0.3005402337503726
